gene,baseMean_all,baseMean_LG3-LG6-LG9,baseMean_LG2-LG5-LG8,foldChange,log2FoldChange,pval,padj
LOC643401,129.440633785971,15.3714652256865,243.509802346256,15.8416779904194,3.98565325228986,2.06490320472518e-14,4.51449787649067e-10
ABCA12,145.159767714775,28.2989292782164,262.020606151335,9.25902897510081,3.21086090123257,4.97706542916543e-11,4.3113361119365e-07
LOC401442,34.3576510919482,2.48085846683985,66.2344437170566,26.6981952426439,4.73867031610771,5.91593483776678e-11,4.3113361119365e-07
MAL,48.2318707608913,3.452497022099,93.0112444996835,26.9402823244539,4.75169306469112,9.39444955000353e-11,5.13477126279318e-07
REG4,407.003145916256,131.200839955178,682.805451877334,5.20427652834084,2.37969762144596,3.42358247999185e-08,0.000136200238166356
IBSP,25.6933695182476,3.09731326858468,48.2894257679104,15.590746424554,3.96261809522736,3.73782842701431e-08,0.000136200238166356
HIST3H2A,250.545009501916,88.053916279946,413.036102723885,4.69071814376475,2.22980881466688,5.31153680289003e-07,0.00165894470173692
PRRT2,82.4731674262916,25.022757348976,139.923577503607,5.59185287025664,2.48332640181786,8.19082877716819e-07,0.00223845111944035
C14orf176,48.3035959503216,10.1871040085353,86.420087892108,8.48328316071974,3.08462271797269,1.31457436751309e-06,0.0030679865438709
LOC644656,162.676505616909,57.1769609174766,268.176050316341,4.69028164514373,2.22967455725071,1.40327793252111e-06,0.0030679865438709
SLC7A5,4932.39828399073,7868.20009989168,1996.59646808978,0.253755171798092,-1.97849086864305,2.09141350871535e-06,0.00415677941282215
LOC100652787,22.6549585956465,4.04226082654518,41.2676563647478,10.2090533331612,3.35177718883338,2.6548980864202e-06,0.0048370030719504
LOC100506804,55.4220669232241,16.8991137841088,93.9450200623393,5.55916844294409,2.47486909644475,6.16838368134678e-06,0.00963821999806334
LOC389791,84.9077542606391,29.379880470786,140.435628050492,4.77999317220283,2.25700855744532,6.17184649741055e-06,0.00963821999806334
FLJ38717,148.809146408523,35.5978086182729,262.020484198772,7.36057904598861,2.87981926545566,6.9323716808959e-06,0.0101041628039618
STX1B,43.7828272303377,13.3271378283149,74.2385166323605,5.57047714135838,2.47780090745569,1.00820514812969e-05,0.0137764932209746
MPZ,102.482004645149,38.3517991232184,166.612210167079,4.34431275653536,2.11912796963866,1.19726309250894e-05,0.014617597874062
LOC100507398,51.0796175213416,16.4975360623964,85.6616989802869,5.19239349781085,2.37639971997587,1.22898413228668e-05,0.014617597874062
PIK3IP1,499.532198914584,219.23929660583,779.825101223337,3.55695859864658,1.83064418219429,1.27033965881708e-05,0.014617597874062
AGBL3,78.1684833565913,28.2793010849021,128.057665628281,4.52831791152888,2.17897524643967,1.37355381088471e-05,0.0150150034836862
FRMPD2,17.3608587856956,2.71903715718977,32.0026804142015,11.7698576974496,3.55702497257682,1.50759685576827e-05,0.015695519075077
LOC100128398,317.353673344969,135.599288045033,499.108058644906,3.68075722107886,1.88000259419452,1.64191363616362e-05,0.016316889921566
REXO1,1051.06821091093,1643.45685580159,458.679566020261,0.279094376223549,-1.84117504062361,1.97387736767155e-05,0.0187629916910448
FLJ45983,14.2757648471561,2.02173018650893,26.5297995078033,13.122324474768,3.71395139496412,2.13975277374098e-05,0.0194922562051246
C9orf163,111.501907182364,45.1101280894049,177.893686275322,3.94354203390312,1.97949202033158,3.00270768873941e-05,0.0262592792795639
TRANK1,659.811872310774,301.332955282543,1018.290789339,3.37928783257115,1.75671923802398,3.14762739777565e-05,0.0264679145375266
DUSP5P,45.3084214274884,14.2334586215164,76.3833842334603,5.36646687671494,2.42397257294003,4.25814533408001e-05,0.0326183758646795
ERP27,30.1560062036618,8.78302817024388,51.5289842370796,5.86688135780496,2.55259381760378,4.38394485657858e-05,0.0326183758646795
LOC100289230,130.645293620426,55.4705881732503,205.819999067602,3.71043476994994,1.89158824444738,4.4242919041629e-05,0.0326183758646795
SNHG3,618.157121587607,247.159467841394,989.154775333819,4.00209137838319,2.00075410818199,4.47583257531164e-05,0.0326183758646795
GPR87,47.5320877910557,10.1008837291055,84.963291853006,8.41147112783668,3.07235814331343,4.85532060753739e-05,0.0335858799478957
C1orf213,118.824164420685,47.2572004671205,190.39112837425,4.02882791389041,2.01036018397272,4.91583112259371e-05,0.0335858799478957
ATP6V1G2,75.6682441043661,30.3491199330998,120.987368275632,3.98651982470435,1.99512984355027,6.08344579943524e-05,0.0396389877991821
LOC100507520,72.6950579816456,28.7716880194982,116.618427943793,4.05323552322555,2.01907400916645,6.21796415960822e-05,0.0396389877991821
TDO2,38.1541617452553,12.3833898168271,63.9249336736835,5.1621514479678,2.3679724680547,6.48351378404073e-05,0.0396389877991821
TFAP2D,39.0519304667607,12.7640650211673,65.3397959123541,5.1190428600918,2.35587408559927,6.70395709667882e-05,0.0396389877991821
LINC00115,66.7859868522703,23.1519952793515,110.419978425189,4.76935042068142,2.25379278642415,6.7083316496809e-05,0.0396389877991821
LOC100507303,293.14644996361,92.4258694091796,493.867030518041,5.34338528460724,2.41775404638622,6.98622712626799e-05,0.0401947062267361
LIPH,718.876181032382,343.735066465768,1094.017295599,3.18273403655762,1.67026660398265,7.37870380314932e-05,0.0413642567303214
LOC338799,321.29804644604,96.2535371857145,546.342555706366,5.67607769730307,2.50489433794438,8.57096724514709e-05,0.0466253960599488
CDHR2,276.027844441501,131.75205177245,420.303637110552,3.19011075316278,1.67360651184752,8.78446734441161e-05,0.0466253960599488
LOC391322,44.6151117458601,12.7985979994904,76.4316254922297,5.97187484873523,2.57818393154731,8.95698959208641e-05,0.0466253960599488
NOS3,130.987933264734,52.4107021229519,209.565164406516,3.99851854521792,1.999465579162,9.84493659729086e-05,0.0494729794419923
PAQR4,164.155242721002,76.598799764995,251.71168567701,3.28610482735057,1.71637850326017,9.9565983417082e-05,0.0494729794419923
HCG27,59.1752054469483,19.6276128382283,98.7227980556683,5.02979138978061,2.33049856560335,0.000102427157102865,0.0497636652386652
C4orf39,69.487012995419,28.7983790167969,110.175646974041,3.8257586272401,1.93574585479522,0.000115024647866973,0.0546692147025137
IFI6,9071.65077402458,487.206790250158,17656.094757799,36.2394266892984,5.17948822689821,0.000121671799725028,0.0564618315815127
LOC284454,427.989033978837,127.148562387418,728.829505570255,5.73210968244794,2.51906621546359,0.000126475043824422,0.0564618315815127
C6orf58,28.0989395268734,8.99741010325837,47.2004689504885,5.24600617386497,2.39121950546777,0.000126543921122176,0.0564618315815127
JSRP1,246.954333260661,117.526149237377,376.382517283944,3.20254275092204,1.67921782931214,0.000138016157777581,0.060348945149825
SERPINA6,392.649897036431,195.293262188136,590.006531884726,3.02113101739446,1.59508875078105,0.000143240291801873,0.0614051470522421
LOC100129484,136.067053103057,62.0003499011871,210.133756304927,3.38923500657378,1.76095967549521,0.000165889674951697,0.0697470377590181
MYO15B,450.462145760452,195.972827966553,704.951463554351,3.59718982916686,1.84687029468913,0.000177174345150409,0.072333160908809
ULK1,1611.34895924777,2401.17924303346,821.518675462083,0.342131341442149,-1.5473778245376,0.000178657580802071,0.072333160908809
CD68,2623.11908871619,1361.94314446744,3884.29503296494,2.85202436588042,1.51198630730238,0.000184092218540163,0.0731783304353378
GABRB3,1766.34318160096,2615.79606879154,916.890294410367,0.350520556762652,-1.51242903932514,0.000196398741929274,0.0754193265538308
PDE1B,269.297104070669,134.541145180322,404.053062961017,3.0031932790484,1.58649732662719,0.000196629081716524,0.0754193265538308
LOC256880,33.806947964942,11.6006417437564,56.0132541861276,4.82846168542998,2.27156362957993,0.000204725109188365,0.077170776934228
PBXIP1,3031.77245193272,1591.42277814524,4472.12212572019,2.81014082941073,1.49064243251075,0.000215471397072326,0.079844934816818
DERL3,69.5052324466724,31.2185086550329,107.791956238312,3.45282208799344,1.78777599900966,0.000234615974590697,0.0854901508746068
LOC100270804,24.6041494304988,7.77156330375307,41.4367355572445,5.3318404467263,2.41463360897887,0.000244333886958904,0.0875716683702053
HMSD,10.3614547656915,1.53591090887936,19.1869986225036,12.4922601379939,3.64296261225684,0.000281518360243069,0.0990543692368615
INPP5D,518.123212805324,270.199663397144,766.046762213503,2.83511368068417,1.50340658464586,0.000285433163880633,0.0990543692368615
