gene	go_id	name_1006
INPP5D	GO:0004445	inositol-polyphosphate 5-phosphatase activity
INPP5D	GO:0005515	protein binding
INPP5D	GO:0016314	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity
INPP5D	GO:0016787	hydrolase activity
INPP5D	GO:0017124	SH3 domain binding
INPP5D	GO:0034485	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity
INPP5D	GO:0052659	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity
INPP5D	GO:0002376	immune system process
INPP5D	GO:0006661	phosphatidylinositol biosynthetic process
INPP5D	GO:0006796	phosphate-containing compound metabolic process
INPP5D	GO:0006915	apoptotic process
INPP5D	GO:0007165	signal transduction
INPP5D	GO:0043647	inositol phosphate metabolic process
INPP5D	GO:0046856	phosphatidylinositol dephosphorylation
INPP5D	GO:0050852	T cell receptor signaling pathway
INPP5D	GO:0050900	leukocyte migration
INPP5D	GO:0005737	cytoplasm
INPP5D	GO:0005829	cytosol
INPP5D	GO:0005856	cytoskeleton
INPP5D	GO:0005886	plasma membrane
INPP5D	GO:0016020	membrane
INPP5D	GO:0045121	membrane raft
INPP5D		
ADAMTS13	GO:0004222	metalloendopeptidase activity
ADAMTS13	GO:0005178	integrin binding
ADAMTS13	GO:0005509	calcium ion binding
ADAMTS13	GO:0005515	protein binding
ADAMTS13	GO:0008233	peptidase activity
ADAMTS13	GO:0008237	metallopeptidase activity
ADAMTS13	GO:0008270	zinc ion binding
ADAMTS13	GO:0016787	hydrolase activity
ADAMTS13	GO:0046872	metal ion binding
ADAMTS13	GO:0006508	proteolysis
ADAMTS13	GO:0007160	cell-matrix adhesion
ADAMTS13	GO:0007229	integrin-mediated signaling pathway
ADAMTS13	GO:0007596	blood coagulation
ADAMTS13	GO:0007599	hemostasis
ADAMTS13	GO:0009100	glycoprotein metabolic process
ADAMTS13	GO:0016485	protein processing
ADAMTS13	GO:0030168	platelet activation
ADAMTS13	GO:0036066	protein O-linked fucosylation
ADAMTS13	GO:0043171	peptide catabolic process
ADAMTS13	GO:0005576	extracellular region
ADAMTS13	GO:0005578	proteinaceous extracellular matrix
ADAMTS13	GO:0005788	endoplasmic reticulum lumen
ADAMTS13	GO:0009986	cell surface
ADAMTS13		
MUC5AC	GO:0005201	extracellular matrix structural constituent
MUC5AC	GO:0016266	O-glycan processing
MUC5AC	GO:0043206	extracellular fibril organization
MUC5AC	GO:0048015	phosphatidylinositol-mediated signaling
MUC5AC	GO:0005576	extracellular region
MUC5AC	GO:0005615	extracellular space
MUC5AC	GO:0005737	cytoplasm
MUC5AC	GO:0005796	Golgi lumen
MUC5AC	GO:0043205	fibril
MUC5AC	GO:0070062	extracellular exosome
SCG5	GO:0030141	secretory granule
SCG5	GO:0005576	extracellular region
SCG5	GO:0046883	regulation of hormone secretion
SCG5	GO:0016486	peptide hormone processing
SCG5	GO:0007218	neuropeptide signaling pathway
SCG5	GO:0006886	intracellular protein transport
SCG5	GO:0006810	transport
SCG5	GO:0051082	unfolded protein binding
SCG5	GO:0005525	GTP binding
SCG5	GO:0005515	protein binding
SCG5	GO:0004857	enzyme inhibitor activity
SCG5	GO:0043086	negative regulation of catalytic activity
PRSS21	GO:0004252	serine-type endopeptidase activity
PRSS21	GO:0005515	protein binding
PRSS21	GO:0008233	peptidase activity
PRSS21	GO:0008236	serine-type peptidase activity
PRSS21	GO:0016787	hydrolase activity
PRSS21	GO:0006508	proteolysis
PRSS21	GO:0005737	cytoplasm
PRSS21	GO:0005886	plasma membrane
PRSS21	GO:0016020	membrane
PRSS21	GO:0031225	anchored component of membrane
PRSS21		
TBCE	GO:0051087	chaperone binding
TBCE	GO:0006457	protein folding
TBCE	GO:0007023	post-chaperonin tubulin folding pathway
TBCE	GO:0005737	cytoplasm
TBCE	GO:0005856	cytoskeleton
TBCE	GO:0005874	microtubule
TCEA3	GO:0005634	nucleus
TCEA3	GO:0032784	regulation of DNA-templated transcription, elongation
TCEA3	GO:0006357	regulation of transcription from RNA polymerase II promoter
TCEA3	GO:0006355	regulation of transcription, DNA-templated
TCEA3	GO:0006351	transcription, DNA-templated
TCEA3	GO:0046872	metal ion binding
TCEA3	GO:0008270	zinc ion binding
TCEA3	GO:0003677	DNA binding
TCEA3	GO:0003676	nucleic acid binding
ZNF578	GO:0003676	nucleic acid binding
ZNF578	GO:0003677	DNA binding
ZNF578	GO:0046872	metal ion binding
ZNF578	GO:0006351	transcription, DNA-templated
ZNF578	GO:0006355	regulation of transcription, DNA-templated
ZNF578	GO:0005622	intracellular
ZNF578	GO:0005634	nucleus
F2	GO:0072562	blood microparticle
F2	GO:0070062	extracellular exosome
F2	GO:0005886	plasma membrane
F2	GO:0005796	Golgi lumen
F2	GO:0005788	endoplasmic reticulum lumen
F2	GO:0005615	extracellular space
F2	GO:0005576	extracellular region
F2	GO:2000379	positive regulation of reactive oxygen species metabolic process
